year,month,distance,moving_time,kilojoules,Power Zone 1,Power Zone 2,Power Zone 3,Power Zone 4,Power Zone 5,Power Zone 6,Power Zone 7,Power Zone 8,Power Zone 9,Power Zone 10,Power Zone 11,ftp
2016,December,870172.9,132447,16600.1,21345.0,9259.0,20672.0,31668.0,21044.0,18956.0,7440.0,1420.0,295.0,106.0,242.0,203.14008333333334
2016,November,696011.4,88767,12307.3,9580.0,8639.0,16084.0,19118.0,15310.0,10093.0,4489.0,2078.0,1219.0,764.0,1365.0,117.25691666666665
2017,April,1572230.3,194877,28469.4,13343.0,7764.0,31723.0,45136.0,64853.0,17226.0,8179.0,2999.0,1276.0,682.0,1696.0,216.56437499999998
2017,August,594916.1,77392,12423.6,6192.0,3710.0,15161.0,16893.0,9244.0,9634.0,10369.0,2782.0,1424.0,865.0,1118.0,250.49916666666667
2017,December,531411.9,73287,10679.9,5845.0,1813.0,8225.0,25644.0,17770.0,8040.0,3597.0,1476.0,557.0,177.0,143.0,167.235625
2017,February,958193.8,131349,18839.3,16661.0,5033.0,14771.0,32906.0,27637.0,22201.0,8743.0,2603.0,504.0,151.0,139.0,218.3899583333333
2017,January,790476.0,113225,15196.4,17396.0,6082.0,16566.0,24667.0,20539.0,19342.0,5664.0,1670.0,572.0,259.0,468.0,94.97466666666666
2017,July,806119.5,105924,15657.9,3158.0,5478.0,24702.0,27781.0,17298.0,12120.0,12461.0,2023.0,345.0,134.0,424.0,151.78941666666665
2017,June,1331062.8,173353,25971.1,7029.0,4982.0,30108.0,53934.0,42720.0,20851.0,6781.0,2885.0,2176.0,677.0,1210.0,140.47808333333333
2017,March,955199.3,117302,16487.6,7464.0,8171.0,19930.0,27746.0,31396.0,14665.0,5170.0,1494.0,443.0,384.0,439.0,222.13691666666668
2017,May,848495.4,104065,17122.9,2935.0,3337.0,10941.0,20577.0,37139.0,21919.0,5584.0,1035.0,288.0,158.0,152.0,210.51762499999998
2017,November,572385.2,68877,11474.4,3569.0,2860.0,10722.0,9026.0,12962.0,22971.0,5354.0,980.0,186.0,125.0,122.0,174.32183333333333
2017,October,592527.4,68615,11343.1,3720.0,3396.0,10325.0,12958.0,12598.0,14607.0,7173.0,2700.0,664.0,228.0,246.0,190.5929583333333
2017,September,454160.69999999995,51083,8587.6,2723.0,949.0,4647.0,10405.0,17561.0,9192.0,3731.0,1019.0,366.0,184.0,306.0,220.85441666666665
2018,April,623227.7,77463,13513.1,5887.0,2875.0,11220.0,10616.0,14647.0,14213.0,12142.0,3756.0,1159.0,427.0,521.0,198.34258333333332
2018,August,87464.1,10936,2012.5,1247.0,1254.0,1547.0,667.0,505.0,2377.0,1274.0,1150.0,287.0,224.0,404.0,154.02824999999999
2018,December,195418.8,27186,4008.7,3673.0,1728.0,4153.0,4733.0,4517.0,3542.0,3168.0,1304.0,222.0,82.0,64.0,143.58062499999997
2018,February,630992.9,75452,12862.6,2566.0,1420.0,5661.0,18991.0,23923.0,14665.0,5318.0,1788.0,441.0,358.0,321.0,172.368
2018,January,620314.4,76549,11926.8,2495.0,5305.0,9591.0,22356.0,12647.0,17034.0,5186.0,963.0,472.0,299.0,201.0,178.6855
2018,July,159671.1,23433,3541.7000000000003,1011.0,3402.0,4905.0,3270.0,1442.0,6369.0,1396.0,1242.0,305.0,71.0,20.0,188.97004166666665
2018,June,462953.9,62987,8887.0,13388.0,2611.0,7465.0,9492.0,10438.0,9630.0,7349.0,1554.0,408.0,155.0,497.0,158.7204583333333
2018,March,698208.7,83469,14838.8,3478.0,3992.0,13711.0,7231.0,20056.0,18451.0,10222.0,3970.0,1555.0,484.0,319.0,226.9019583333333
2018,May,491265.9,66549,10724.1,4008.0,3555.0,11592.0,16644.0,8292.0,9449.0,7243.0,3379.0,1318.0,667.0,402.0,219.81495833333332
2018,November,425849.7,54578,7995.3,11036.0,3446.0,7421.0,7848.0,7840.0,7775.0,4310.0,1683.0,1215.0,691.0,1313.0,129.02266666666665
2019,April,415341.2,65029,9049.9,7283.0,7936.0,13567.0,9970.0,9065.0,6175.0,6565.0,1987.0,1093.0,518.0,870.0,207.17679166666667
2019,February,775247.9,96548,13763.5,22152.0,2903.0,10115.0,15508.0,15999.0,13507.0,10551.0,3447.0,1193.0,491.0,682.0,226.95420833333333
2019,January,722961.2,100886,14804.3,17558.0,3714.0,10294.0,17747.0,24813.0,14378.0,7215.0,2211.0,1151.0,644.0,1198.0,163.08808333333332
2019,June,506297.4,72027,10570.6,9648.0,5529.0,10954.0,11015.0,9437.0,12674.0,11019.0,1044.0,252.0,131.0,324.0,237.02104166666666
2019,March,416077.7,66495,9387.4,10366.0,4097.0,9424.0,12284.0,10922.0,8972.0,8128.0,1543.0,354.0,130.0,275.0,219.9812083333333
2019,May,289503.0,38499,5986.3,2129.0,6766.0,4611.0,4822.0,5241.0,6153.0,7241.0,1024.0,325.0,108.0,79.0,179.04570833333332
2019,November,294585.0,42659,5502.6,7334.0,769.0,5829.0,12054.0,10344.0,3512.0,1001.0,1093.0,521.0,185.0,17.0,129.99245833333333
2020,August,16483.2,3052,326.3,95.0,652.0,784.0,937.0,375.0,11.0,73.0,105.0,19.0,1.0,0.0,101.913625
2020,December,282978.9,45096,4600.6,8126.0,3895.0,10582.0,12445.0,6531.0,2298.0,608.0,235.0,123.0,42.0,211.0,113.52658333333332
2020,July,137760.2,25563,2576.1,943.0,6575.0,5856.0,5683.0,4875.0,1594.0,37.0,0.0,0.0,0.0,0.0,96.85249999999999
2020,November,200053.9,30417,3297.5,5133.0,4808.0,7428.0,3884.0,3508.0,3506.0,1059.0,411.0,424.0,120.0,136.0,77.53741666666667
2021,April,169042.6,28091,3637.0,3605.0,5077.0,5971.0,2091.0,2427.0,6028.0,1383.0,522.0,375.0,226.0,386.0,181.590125
2021,August,274816.7,45795,5314.7,9011.0,3984.0,7870.0,10435.0,7951.0,3423.0,1021.0,498.0,256.0,277.0,641.0,132.11966666666666
2021,February,461459.6,61388,8114.8,6039.0,2977.0,8858.0,18421.0,16262.0,6474.0,1654.0,365.0,124.0,75.0,139.0,135.054375
2021,January,121678.4,18486,2068.2,2329.0,1531.0,4281.0,5033.0,3381.0,1444.0,331.0,89.0,33.0,18.0,16.0,121.75358333333332
2021,July,271575.4,43588,4421.8,6755.0,4410.0,11051.0,11926.0,6352.0,2017.0,501.0,198.0,103.0,75.0,191.0,131.278125
2021,June,161399.6,26142,2654.3,4269.0,4980.0,5843.0,2992.0,4341.0,2692.0,468.0,226.0,232.0,56.0,43.0,139.82970833333331
2021,March,52648.1,9803,1081.5,1281.0,2802.0,2342.0,537.0,787.0,820.0,384.0,326.0,257.0,122.0,145.0,151.11649999999997
2021,May,83491.4,15366,1581.5,759.0,3662.0,3942.0,3083.0,2012.0,1450.0,427.0,21.0,6.0,4.0,0.0,138.9224583333333
2021,September,100967.7,18295,2023.9,3589.0,1167.0,3475.0,4405.0,3392.0,1517.0,485.0,121.0,34.0,29.0,81.0,118.22987499999999
2023,August,839311.4,116537,17346.3,15105.0,3304.0,14513.0,21317.0,39142.0,10478.0,6281.0,3531.0,1220.0,633.0,1013.0,180.31079166666666
2023,July,921196.2,125522,18470.3,19814.0,5406.0,17449.0,26842.0,22567.0,15646.0,8390.0,4038.0,2137.0,1292.0,1941.0,140.1028333333333
2023,October,674938.0,88467,13452.5,12803.0,4452.0,9708.0,16333.0,21797.0,12297.0,5517.0,1999.0,1314.0,703.0,1544.0,146.25645833333334
2023,September,705139.6,96072,15738.1,13956.0,1855.0,10789.0,14665.0,20798.0,15298.0,12653.0,3314.0,1169.0,611.0,964.0,239.15379166666668
